%time,field.layout.data_offset,field.data0,field.data1,field.data2,field.data3,field.data4,field.data5,field.data6,field.data7,field.data8,field.data9,field.data10,field.data11,field.data12,field.data13,field.data14,field.data15
1654092488712327802,0,-0.116788826407967,0.0024120959606799552,-0.12596851390796704,0.0016107915521977878,-0.15331119076236263,0.0004817753047733492,-0.12306511847527472,0.016015222570398353,-0.11842165098085508,0.024295748197115385,-0.1359963888650412,0.00929692865728022,-0.1533478789277129,0.0270728478064904,-0.1408763172862294,0.02557684929816277
1654092488742793639,0,-0.11187066717462224,-0.013192447201236274,-0.12082901839371565,-0.012682233537946425,-0.1476058121565934,-0.01106902740813874,-0.11740923871050825,0.0009714650583791222,-0.11250268286401097,0.007826987465659338,-0.1303519783439217,-0.0040439479953640126,-0.14609656700721152,0.014624928904103718,-0.13409879915006867,0.012051022707760983
1654092488788876180,0,-0.1076426747081044,-0.01671343792925825,-0.11690137255322802,-0.015723997682005497,-0.14336326515281594,-0.013532768501030232,-0.11301018012748971,-0.0025786347441620894,-0.10809416718535372,0.003942636343149036,-0.12624337332589286,-0.0071575458233173045,-0.14145823049021292,0.011687461098471852,-0.12961392245449863,0.008876758617359204
1654092488844100477,0,-0.10278202937199515,-0.019921137212396994,-0.1120560530777816,-0.018715860555460165,-0.13840486295930632,-0.015634926596840668,-0.10794379265753777,-0.005701253702352336,-0.10283129346239697,0.00047013838212568715,-0.12112869430374312,-0.009714046939388737,-0.1360051752446772,0.009088604266826922,-0.12411512437757555,0.006048248626373626
1654092488898068783,0,-0.0971988552219265,-0.022843111478365374,-0.10659568702781594,-0.02120186941964286,-0.13250457428313872,-0.01744237208104396,-0.10208639626974587,-0.008497602861006183,-0.09699448805588942,-0.002742155305631863,-0.11543317522321428,-0.011865636804601648,-0.12967180524553573,0.006803608988667581,-0.1182356949690934,0.0035864190740899637
1654092488957004338,0,-0.09113699106069711,-0.025780579283997254,-0.10061363807091345,-0.023753943810096156,-0.12641863141741072,-0.01916430127489699,-0.09575342870020605,-0.01135113055889423,-0.09058569604223901,-0.0056686233688186816,-0.10932858645260989,-0.014245068895947802,-0.1230224609375,0.004634144541981466,-0.11170231745793269,0.0010516156207074079
1654092489003587896,0,-0.08472377232142858,-0.028881701794299455,-0.09424297626201922,-0.026456459799965665,-0.11986037034254807,-0.020975234482314573,-0.08915613195398352,-0.014193692050137364,-0.08380586393586884,-0.008919516762534344,-0.10276147192651099,-0.016608739161229395,-0.1156180916251717,0.0022513924064217206,-0.10480970445570054,-0.0013307340852506955
1654092489060133551,0,-0.07810816502833104,-0.03193574004120879,-0.08785977206387363,-0.028839111328125,-0.1130124270260989,-0.02277543623368819,-0.0822775369162088,-0.017087093814388738,-0.07661786760602676,-0.012230003273094092,-0.09609884744162088,-0.01916262448489011,-0.10834538386418269,-0.00012153373969778225,-0.09771869365985576,-0.0039717789534684245
1654092489104323964,0,-0.07144808926425136,-0.03487568949605083,-0.08142559344951923,-0.03135684505923764,-0.10609700967977334,-0.024632112272493137,-0.07543381911057694,-0.019964096572372938,-0.06944066980382899,-0.015347524789663461,-0.08929537259615385,-0.02159625042925824,-0.10108957814646291,-0.0024557595724587766,-0.09058294610662775,-0.006683684967376369
1654092489148023114,0,-0.06486115508027127,-0.03739758166638049,-0.07470589103279533,-0.03374627081902473,-0.09924524328210851,-0.026133442973042584,-0.0686446305159684,-0.022437361832503434,-0.06208261343149038,-0.01756051870492789,-0.08248800759787088,-0.023595990191449177,-0.09380587064302884,-0.004636961549192992,-0.0834148700420673,-0.00886005778889079
