%time,field0,field1
1653385544210647201,1144.0,100.0
1653385544273404588,1144.0,100.0
1653385544371586719,1144.0,100.0
1653385544434520845,1144.0,100.0
1653385544529553878,1144.0,100.0
1653385544598552598,1144.0,100.0
1653385544691337782,1144.0,100.0
1653385544757897570,1144.0,100.0
1653385544851693521,1143.0,100.0
1653385544916216857,1143.0,100.0
1653385545014046417,1143.0,100.0
1653385545090331977,1143.0,100.0
1653385545170284509,1143.0,100.0
1653385545250986983,1143.0,100.0
1653385545329586750,1143.0,100.0
1653385545414020339,1143.0,100.0
1653385545492858407,1137.0,100.0
1653385545574462702,1137.0,100.0
1653385545654458629,1137.0,100.0
1653385545729956920,1137.0,100.0
1653385545828988262,1141.0,100.0
1653385545894858459,1141.0,100.0
1653385545989794745,1141.0,100.0
1653385546060902181,1141.0,100.0
1653385546146485823,1129.0,100.0
1653385546226212372,1129.0,100.0
1653385546309988764,1129.0,100.0
1653385546386601547,1129.0,100.0
1653385546470032140,1118.0,100.0
1653385546550244264,1118.0,100.0
1653385546628503516,1118.0,100.0
1653385546709716565,1118.0,100.0
1653385546803758854,1112.0,100.0
1653385546867390279,1112.0,100.0
1653385546949069921,1112.0,100.0
1653385547028739949,1112.0,100.0
1653385547122771669,1101.0,100.0
1653385547188358775,1101.0,100.0
1653385547283837826,1101.0,100.0
1653385547348837623,1101.0,100.0
1653385547443047076,1096.0,100.0
1653385547523664029,1096.0,100.0
1653385547604107681,1096.0,100.0
1653385547683316039,1096.0,100.0
1653385547765157701,1100.0,100.0
1653385547844437185,1100.0,100.0
1653385547923344439,1100.0,100.0
1653385548005460256,1100.0,100.0
1653385548101750117,1089.0,100.0
1653385548215394930,1089.0,100.0
1653385548291339506,1089.0,100.0
1653385548388871055,1080.0,100.0
1653385548450846059,1080.0,100.0
1653385548548129954,1080.0,100.0
1653385548674808732,1079.0,100.0
1653385548741185690,1079.0,100.0
1653385548839226186,1079.0,100.0
1653385548903638106,1079.0,100.0
1653385548998437312,1071.0,100.0
1653385549078351064,1071.0,100.0
1653385549158977153,1071.0,100.0
1653385549235312868,1071.0,100.0
1653385549317158580,1075.0,100.0
1653385549397704906,1075.0,100.0
1653385549477370016,1075.0,100.0
1653385549559164963,1075.0,100.0
1653385549638254548,1070.0,100.0
1653385549719991034,1070.0,100.0
1653385549798881988,1070.0,100.0
1653385549880567981,1070.0,100.0
1653385549976675446,1055.0,100.0
1653385550036977075,1055.0,100.0
1653385550134817437,1055.0,100.0
1653385550200042667,1055.0,100.0
1653385550292614024,1049.0,100.0
1653385550372564289,1049.0,100.0
1653385550455186601,1049.0,100.0
1653385550534675188,1049.0,100.0
1653385550613976830,1038.0,100.0
1653385550697182013,1038.0,100.0
1653385550774426705,1038.0,100.0
1653385550851701682,1038.0,100.0
1653385550950390109,1029.0,100.0
1653385551061998408,1029.0,100.0
1653385551143915515,1029.0,100.0
1653385551240230238,1029.0,100.0
1653385551347744758,1029.0,100.0
1653385551428546601,1029.0,100.0
1653385551527241252,1024.0,100.0
1653385551589736925,1024.0,100.0
1653385551686043579,1024.0,100.0
1653385551753192791,1024.0,100.0
1653385551847505010,1026.0,100.0
1653385551929058224,1026.0,100.0
1653385552010752212,1026.0,100.0
1653385552089981950,1026.0,100.0
1653385552170101135,1020.0,100.0
1653385552245639893,1020.0,100.0
1653385552330547685,1020.0,100.0
1653385552407485856,1020.0,100.0
1653385552506040909,1010.0,100.0
1653385552617013787,1010.0,100.0
1653385552695759923,1010.0,100.0
1653385552792683027,1009.0,100.0
1653385552903123214,1009.0,100.0
1653385552984501847,1009.0,100.0
1653385553081936125,999.0,100.0
1653385553145480599,999.0,100.0
1653385553238843476,999.0,100.0
1653385553304060014,999.0,100.0
1653385553399343844,992.0,100.0
1653385553479655713,992.0,100.0
1653385553560534401,992.0,100.0
1653385553637502553,992.0,100.0
1653385553720560046,978.0,100.0
1653385553799864057,978.0,100.0
1653385553883736012,978.0,100.0
1653385553957962705,978.0,100.0
1653385554058246075,976.0,100.0
1653385554169566620,976.0,100.0
1653385554246551945,976.0,100.0
1653385554341920474,973.0,100.0
1653385554410000500,973.0,100.0
1653385554504464071,973.0,100.0
1653385554632960277,967.0,100.0
1653385554694391540,967.0,100.0
1653385554776616654,967.0,100.0
1653385554855651074,967.0,100.0
1653385554949715838,950.0,100.0
1653385555015102194,950.0,100.0
1653385555114308572,950.0,100.0
1653385555176021762,950.0,100.0
1653385555277495544,949.0,100.0
1653385555339961279,949.0,100.0
1653385555432227682,949.0,100.0
1653385555494466402,949.0,100.0
1653385555592300904,936.0,100.0
1653385555674331027,936.0,100.0
1653385555754933594,936.0,100.0
1653385555831794168,936.0,100.0
1653385555911111341,919.0,100.0
1653385555992080258,919.0,100.0
1653385556074230846,919.0,100.0
1653385556154174551,919.0,100.0
1653385556231904315,918.0,100.0
1653385556311568448,918.0,100.0
1653385556395531686,918.0,100.0
1653385556474697591,918.0,100.0
1653385556555025258,916.0,100.0
1653385556631690456,916.0,100.0
1653385556717352397,916.0,100.0
1653385556796001640,916.0,100.0
1653385556889302917,916.0,100.0
1653385556956893522,916.0,100.0
1653385557047829969,916.0,100.0
1653385557111787470,916.0,100.0
1653385557210700536,916.0,100.0
1653385557288753935,916.0,100.0
1653385557368100049,916.0,100.0
1653385557449390602,916.0,100.0
1653385557528203517,905.0,100.0
1653385557613490313,905.0,100.0
1653385557689904729,905.0,100.0
1653385557768837561,905.0,100.0
1653385557864831561,885.0,100.0
1653385557928645946,885.0,100.0
1653385558028165705,885.0,100.0
1653385558092290938,885.0,100.0
1653385558184341692,875.0,100.0
1653385558250961039,875.0,100.0
1653385558343929056,875.0,100.0
1653385558412728700,875.0,100.0
1653385558505715557,864.0,100.0
1653385558583521619,864.0,100.0
1653385558666723948,864.0,100.0
1653385558748166346,864.0,100.0
1653385558833509979,856.0,100.0
1653385558906458661,856.0,100.0
1653385559004216960,856.0,100.0
1653385559064912566,856.0,100.0
1653385559162929167,844.0,100.0
1653385559242750963,844.0,100.0
1653385559322377035,844.0,100.0
1653385559402943069,844.0,100.0
1653385559483632549,846.0,100.0
1653385559562726654,846.0,100.0
1653385559644629723,846.0,100.0
1653385559723391400,846.0,100.0
1653385559820359969,842.0,100.0
1653385559884755325,842.0,100.0
1653385559961359643,842.0,100.0
1653385560024596562,842.0,100.0
1653385560139287438,836.0,100.0
1653385560202898473,836.0,100.0
1653385560299684976,836.0,100.0
1653385560379537140,811.0,100.0
1653385560461487024,811.0,100.0
1653385560541056537,811.0,100.0
1653385560620011202,801.0,100.0
1653385560697198946,801.0,100.0
1653385560781047700,801.0,100.0
1653385560860067269,801.0,100.0
1653385560953785292,792.0,100.0
1653385561020524955,792.0,100.0
1653385561114411001,792.0,100.0
